created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2022-07-09T00:49:13+00:00,1,21,50,,,,,
2022-07-09T00:49:29+00:00,2,21,50,,,,,
2022-07-09T00:49:44+00:00,3,21,50,,,,,
2022-07-09T00:50:01+00:00,4,20,51,,,,,
2022-07-09T00:50:23+00:00,5,20,51,,,,,
2022-07-09T00:50:44+00:00,6,20,51,,,,,
2022-07-09T00:51:01+00:00,7,20,52,,,,,
2022-07-09T00:51:23+00:00,8,20,52,,,,,
2022-07-09T00:51:45+00:00,9,20,52,,,,,
2022-07-09T00:52:06+00:00,10,20,60,,,,,
2022-07-09T00:52:22+00:00,11,20,60,,,,,
2022-07-09T00:52:38+00:00,12,20,60,,,,,
2022-07-09T00:53:00+00:00,13,20,60,,,,,
2022-07-09T00:53:22+00:00,14,20,60,,,,,
2022-07-09T00:53:43+00:00,15,20,60,,,,,
2022-07-09T01:00:08+00:00,16,20,60,,,,,
2022-07-09T01:00:30+00:00,17,20,61,,,,,
2022-07-09T01:00:52+00:00,18,20,61,,,,,
2022-07-09T01:01:13+00:00,19,20,60,,,,,
2022-07-09T01:01:35+00:00,20,20,60,,,,,
2022-07-09T01:01:57+00:00,21,20,60,,,,,
2022-07-09T01:02:18+00:00,22,20,60,,,,,
2022-07-09T01:02:40+00:00,23,20,60,,,,,
2022-07-09T01:02:57+00:00,24,20,60,,,,,
2022-07-09T01:03:18+00:00,25,20,60,,,,,
2022-07-09T01:03:40+00:00,26,20,60,,,,,
2022-07-09T01:04:02+00:00,27,20,60,,,,,
2022-07-09T01:04:24+00:00,28,20,60,,,,,
2022-07-09T01:04:46+00:00,29,20,60,,,,,
2022-07-09T01:05:08+00:00,30,20,60,,,,,
2022-07-09T01:05:29+00:00,31,20,60,,,,,
2022-07-09T01:05:51+00:00,32,20,60,,,,,
2022-07-09T01:06:13+00:00,33,20,60,,,,,
2022-07-09T01:06:35+00:00,34,20,60,,,,,
2022-07-09T01:06:56+00:00,35,20,60,,,,,
2022-07-09T01:45:12+00:00,36,20,60,,,,,
2022-07-09T02:09:40+00:00,37,24.0,40.0,404.2612,,,,
2022-07-09T02:10:09+00:00,38,24.0,40.0,404.2612,,,,
2022-07-09T02:10:35+00:00,39,24.0,40.0,404.244,,,,
2022-07-09T02:11:17+00:00,40,24.0,40.0,66.75258,,,,
2022-07-09T02:11:48+00:00,41,24.0,40.0,66.75258,,,,
2022-07-09T02:12:20+00:00,42,24.0,40.0,66.68385,,,,
2022-07-09T02:17:28+00:00,43,24.0,40.0,66.75258,,,,
2022-07-09T02:17:50+00:00,44,24.0,40.0,66.75258,,,,
2022-07-09T02:19:04+00:00,45,18.1,82.5,172.8694,,,,
2022-07-09T02:28:16+00:00,46,80.0,82.5,172.7835,,,,
2022-07-09T02:28:39+00:00,47,80.0,82.5,172.9038,,,,
2022-07-09T02:29:02+00:00,48,80.0,82.5,172.8522,,,,
2022-07-09T02:29:25+00:00,49,80.0,82.5,172.8522,,,,
